label,content
scam,Để có cơ hội để giành được £ 250 wkly mua sắm spree txt: mua sắm lên 80878.
scam,Shopee Pay: Số dư ví 47 triệu đang chờ rút. Click xác thực khuôn mặt để nhận tiền.
ham,Aight Tôi có nên lên kế hoạch đến sau tối nay không?
spam,"Kính gửi Anh/Chị, 🍱\n\n[Now.vn] SIÊU ƯU ĐÃI ĐỒ ĂN! 🔥\nGiảm 50% + freeship cho đơn từ 100K. Hàng trăm quán ngon đang chờ bạn order!\n\nĐặt ngay: [Link Now]"
scam,Nhạc chuông 84484
ham,Có lẽ bạn nên tìm việc khác để làm thay thế ???
ham,"Xin vui lòng gửi cho tôi một thư toàn diện về người tôi đang trả tiền, khi nào và bao nhiêu."
spam,[QC] VNPT EPAY: Dong hoc phi truong dai hoc qua VNPT ePay nhan ngay hoan tien 50K. Ho tro toan bo truong dai hoc cong lap va dan lap. Thanh toan tai: epay.vnpt.vn.
spam,"Chào bạn yêu thời trang,\n\n[Shopee Fashion] BIG SALE THỜI TRANG HÈ!\nGiảm đến 70% quần áo, giày dép, phụ kiện. Voucher thêm 150K cho đơn từ 500K.\n\nMua sắm ngay: [Link Shopee]"
ham,Tôi đã làm việc 3D của nó rất imp
spam,Ohui Cosmetics: Giảm 60% bộ chăm sóc da Hàn Quốc!
scam,Techcombank: Hoàn tất vay 180 triệu. Click nhận tiền.
spam,"Kính gửi Quý khách, 🌿\n\n[The Body Shop Fresh Summer] SALE SẢN PHẨM TỰ NHIÊN! ✨\nGiảm đến 65% kem dưỡng da, tinh dầu và quà tặng du lịch cho đơn từ 900K.\n\nMua ngay để chăm sóc làn da!"
spam,"Subject: Nhà phố quận 2 chỉ 4 tỷ, chiết khấu 20%\n\nDự án Eco Green Sài Gòn, thanh toán 1% mỗi tháng.\nĐặt lịch xem nhà: khudothi247.com"
ham,"Vâng, tôi là, vì vậy tôi sẽ rời đi có thể 7ish?"
ham,U lặp lại hướng dẫn e một lần nữa.
ham,Tại sao bạn có những gì đặc biệt ở đó bạn có
scam,🏛️[Dịch vụ công quốc gia] VNeID của bạn chưa hoàn tất xác minh định danh mức 2.
ham,Chúng tôi đã ly hôn.
ham,Rất lâu sau khi tôi bỏ việc.
scam,"Subject: Thông báo từ Cục Thuế: Hoàn thuế TNCN 2025\n\nKính gửi người nộp thuế,\nHệ thống xác nhận bạn có số tiền hoàn thuế TNCN năm 2025 là 3.820.000đ. Để nhận tiền hoàn thuế, vui lòng xác nhận thông tin tài khoản ngân hàng tại:\n\ncucthuehcm-hoan-thue.vn/xacnhan\n\nHạn nộp: 22/05/2026. Quá hạn số tiền sẽ bị xử lý theo quy định.\n\nCục Thuế TP.HCM"
ham,"Chào buổi chiều, em yêu."
scam,"Subject: Cảnh báo vi phạm bản quyền nội dung trên website\n\nChào chủ sở hữu, chúng tôi phát hiện website của bạn đang sử dụng trái phép hình ảnh từ kho lưu trữ của chúng tôi. Bạn có 24h để gỡ bỏ hoặc xác nhận bản quyền tại đây: https://copyright-report-center.net/case/8821. Nếu không, chúng tôi sẽ tiến hành thủ tục pháp lý."
